pos,player,opp,status,stats,points,year,week,team,total_score,total_bench,record,streak,team_away,total_score_away,total_bench_away,record_away,streak_away,game_id
BN,L. Miller RB - HOU,JAX,"Loss, 7-29","65 Rush Yds, Rush TD, Fum, 31 Rec Yds, Rec TD, 2PT, ...",9.6,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
BN,T. Hill WR - KC,@NE,"Win, 42-27","133 Rec Yds, 1 Rec TD, Fum, 5 Rush Yds, Rush TD, 2PT, ...",19.8,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
BN,C. Carson RB - SEA,@GB,"Loss, 9-17","39 Rush Yds, Rush TD, Fum, 10 Rec Yds, Rec TD, 2PT, ...",4.9,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
BN,Cardinals DEF,@DET,"Loss, 23-35","29 Pts, 1 Sck, 1 Int, Fum, 1 TD, Ret TD, Saf, ...",8.0,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
QB,B. Roethlisberger QB - PIT,@CLE,"Win, 21-18","263 Pass Yds, 2 Pass TD, 1 Int, -8 Rush Yds, Rush TD, Fum, 2PT, ...",15.72,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
RB,T. Gurley RB - LA,IND,"Win, 46-9","40 Rush Yds, 1 Rush TD, Fum, 56 Rec Yds, Rec TD, 2PT, ...",15.6,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
RB,D. Johnson RB - ARI,@DET,"Loss, 23-35","23 Rush Yds, Rush TD, 1 Fum, 67 Rec Yds, Rec TD, 2PT, ...",7.0,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
WR,D. Bryant WR - DAL,NYG,"Win, 19-3","43 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",4.3,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
WR,A. Robinson WR - JAX,@HOU,"Win, 29-7","17 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",1.7,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
TE,D. Walker TE - TEN,LV,"Loss, 16-26","76 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",7.6,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
W/R,M. Ingram RB - NO,@MIN,"Loss, 19-29","17 Rush Yds, Rush TD, Fum, 54 Rec Yds, Rec TD, 2PT, ...",7.1,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
K,S. Hauschka K - BUF,NYJ,"Win, 21-12","3 PAT, PAT Miss, 0-19, 20-29, 30-39, 40-49, 50+, Miss 0-19, Miss 20-29, Miss 30-39, 1 Miss 40-49, Miss 50+, ...",3.0,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
DEF,Steelers DEF,@CLE,"Win, 21-18","18 Pts, 7 Sck, 1 Int, Fum, 1 TD, Ret TD, Saf, ...",16.0,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
BN,D. Jackson WR - TB,Bye,,"Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.0,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
BN,D. Brees QB - NO,@MIN,"Loss, 19-29","291 Pass Yds, 1 Pass TD, Int, Rush Yds, Rush TD, Fum, 2PT, ...",15.64,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
BN,E. Ebron TE - DET,ARI,"Win, 35-23","9 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.9,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
BN,J. Landry WR - MIA,Bye,,"Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.0,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
BN,R. Kelley RB - WAS,PHI,"Loss, 17-30","30 Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",3.0,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
BN,Seahawks DEF,@GB,"Loss, 9-17","17 Pts, 4 Sck, 1 Int, Fum, TD, Ret TD, Saf, ...",7.0,2017,1,Rui's Crew,78.02,26.54,1-0-0,W1,Suit Up,76.74,7.1,0-1-0,L1,1
QB,M. Mariota QB - TEN,LV,"Loss, 16-26","256 Pass Yds, Pass TD, Int, 26 Rush Yds, 1 Rush TD, Fum, 2PT, ...",18.84,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
RB,M. Gordon RB - LAC,@DEN,"Loss, 21-24","54 Rush Yds, Rush TD, Fum, 25 Rec Yds, 1 Rec TD, 2PT, ...",13.9,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
RB,L. Fournette RB - JAX,@HOU,"Win, 29-7","100 Rush Yds, 1 Rush TD, Fum, 24 Rec Yds, Rec TD, 2PT, ...",18.4,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
WR,L. Fitzgerald WR - ARI,@DET,"Loss, 23-35","74 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",7.4,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
WR,T. Hilton WR - IND,@LA,"Loss, 9-46","57 Rec Yds, Rec TD, 1 Fum, Rush Yds, Rush TD, 2PT, ...",3.7,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
TE,G. Olsen TE - CAR,@SF,"Win, 23-3","18 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",1.8,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
W/R,D. Woodhead RB - BAL,@CIN,"Win, 20-0","4 Rush Yds, Rush TD, Fum, 33 Rec Yds, Rec TD, 2PT, ...",3.7,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
K,J. Tucker K - BAL,@CIN,"Win, 20-0","2 PAT, PAT Miss, 0-19, 2 20-29, 30-39, 40-49, 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",6.0,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
DEF,Chiefs DEF,@NE,"Win, 42-27","27 Pts, 3 Sck, Int, Fum, TD, Ret TD, Saf, ...",3.0,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
BN,E. Lacy RB - SEA,@GB,"Loss, 9-17","3 Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",0.3,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
BN,M. Evans WR - TB,Bye,,"Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.0,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
BN,D. Moncrief WR - IND,@LA,"Loss, 9-46","50 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",5.0,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
BN,J. Winston QB - TB,Bye,,"Pass Yds, Pass TD, Int, Rush Yds, Rush TD, Fum, 2PT, ...",0.0,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
BN,J. Crowder WR - WAS,PHI,"Loss, 17-30","14 Rec Yds, Rec TD, 1 Fum, Rush Yds, Rush TD, 2PT, ...",-0.6,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
BN,J. Mixon RB - CIN,BAL,"Loss, 0-20","9 Rush Yds, Rush TD, Fum, 15 Rec Yds, Rec TD, 2PT, ...",2.4,2017,1,Suit Up,76.74,7.1,0-1-0,L1,Rui's Crew,78.02,26.54,1-0-0,W1,1
QB,M. Ryan QB - ATL,@CHI,"Win, 23-17","321 Pass Yds, 1 Pass TD, Int, 11 Rush Yds, Rush TD, Fum, 2PT, ...",17.94,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
RB,J. Stewart RB - CAR,@SF,"Win, 23-3","65 Rush Yds, Rush TD, Fum, 17 Rec Yds, 1 Rec TD, 2PT, ...",14.2,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
RB,C. Anderson RB - DEN,LAC,"Win, 24-21","81 Rush Yds, Rush TD, Fum, 7 Rec Yds, Rec TD, 2PT, ...",8.8,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
WR,A. Green WR - CIN,BAL,"Loss, 0-20","74 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",7.4,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
WR,D. Baldwin WR - SEA,@GB,"Loss, 9-17","63 Rec Yds, Rec TD, Fum, -3 Rush Yds, Rush TD, 2PT, ...",6.0,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
TE,J. Graham TE - SEA,@GB,"Loss, 9-17","8 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.8,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
W/R,G. Tate WR - DET,ARI,"Win, 35-23","107 Rec Yds, Rec TD, Fum, 7 Rush Yds, Rush TD, 2PT, ...",11.4,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
K,C. Santos K - CHI,ATL,"Loss, 17-23","6 PAT, PAT Miss, 0-19, 20-29, 30-39, 40-49, 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",6.0,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
DEF,Broncos DEF,LAC,"Win, 24-21","21 Pts, 1 Sck, 1 Int, Fum, TD, Ret TD, Saf, ...",3.0,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
BN,R. Wilson QB - SEA,@GB,"Loss, 9-17","158 Pass Yds, Pass TD, Int, 40 Rush Yds, Rush TD, 1 Fum, 2PT, ...",8.32,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
BN,T. Riddick RB - DET,ARI,"Win, 35-23","-1 Rush Yds, Rush TD, Fum, 27 Rec Yds, 1 Rec TD, 2PT, ...",8.6,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
BN,Z. Ertz TE - PHI,@WAS,"Win, 30-17","93 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",9.3,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
BN,K. Benjamin WR - BUF,NYJ,"Win, 21-12","25 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",2.5,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
BN,W. Snead WR - NO,@MIN,"Loss, 19-29","Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.0,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
BN,J. Ajayi RB - PHI,@WAS,"Win, 30-17","Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",0.0,2017,1,Leschke-Ultras,75.54,28.72,0-1-0,L1,Die EXperten,106.48,39.7,1-0-0,W1,2
QB,M. Stafford QB - DET,ARI,"Win, 35-23","292 Pass Yds, 4 Pass TD, 1 Int, 14 Rush Yds, Rush TD, Fum, 2PT, ...",27.08,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
RB,T. Montgomery RB - GB,SEA,"Win, 17-9","54 Rush Yds, 1 Rush TD, Fum, 39 Rec Yds, Rec TD, 2PT, ...",15.3,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
RB,J. Howard RB - CHI,ATL,"Loss, 17-23","52 Rush Yds, 1 Rush TD, Fum, 14 Rec Yds, Rec TD, 2PT, ...",12.6,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
WR,A. Brown WR - PIT,@CLE,"Win, 21-18","182 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",18.2,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
WR,D. Hopkins WR - HOU,JAX,"Loss, 7-29","55 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",11.5,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
TE,J. Reed TE - WAS,PHI,"Loss, 17-30","36 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",3.6,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
W/R,M. Lynch RB - LV,@TEN,"Win, 26-16","76 Rush Yds, Rush TD, Fum, 16 Rec Yds, Rec TD, 2PT, ...",9.2,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
K,C. Catanzaro K - NYJ,@BUF,"Loss, 12-21","PAT, PAT Miss, 0-19, 20-29, 30-39, 1 40-49, 1 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",9.0,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
DEF,Texans DEF,JAX,"Loss, 7-29","23 Pts, Sck, Int, Fum, TD, Ret TD, Saf, ...",0.0,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
BN,E. Sanders WR - DEN,LAC,"Win, 24-21","26 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",2.6,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
BN,A. Luck QB - IND,@LA,"Loss, 9-46","Pass Yds, Pass TD, Int, Rush Yds, Rush TD, Fum, 2PT, ...",0.0,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
BN,S. Watkins WR - LA,IND,"Win, 46-9","58 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",5.8,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
BN,A. Abdullah RB - DET,ARI,"Win, 35-23","30 Rush Yds, Rush TD, Fum, 11 Rec Yds, Rec TD, 2PT, ...",4.1,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
BN,S. Diggs WR - MIN,NO,"Win, 29-19","93 Rec Yds, 2 Rec TD, Fum, -6 Rush Yds, Rush TD, 2PT, ...",20.7,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
BN,C. McCaffrey RB - CAR,@SF,"Win, 23-3","47 Rush Yds, Rush TD, 1 Fum, 38 Rec Yds, Rec TD, 2PT, ...",6.5,2017,1,Die EXperten,106.48,39.7,1-0-0,W1,Leschke-Ultras,75.54,28.72,0-1-0,L1,2
QB,T. Brady QB - NE,KC,"Loss, 27-42","267 Pass Yds, Pass TD, Int, Rush Yds, Rush TD, Fum, 2PT, ...",10.68,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
RB,L. McCoy RB - BUF,NYJ,"Win, 21-12","110 Rush Yds, Rush TD, Fum, 49 Rec Yds, Rec TD, 2PT, ...",15.9,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
RB,C. Hyde RB - SF,CAR,"Loss, 3-23","45 Rush Yds, Rush TD, Fum, 32 Rec Yds, Rec TD, 2PT, ...",7.7,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
WR,B. Cooks WR - NE,KC,"Loss, 27-42","88 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",8.8,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
WR,M. Thomas WR - NO,@MIN,"Loss, 19-29","45 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",4.5,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
TE,K. Rudolph TE - MIN,NO,"Win, 29-19","26 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",8.6,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
W/R,F. Gore RB - IND,@LA,"Loss, 9-46","42 Rush Yds, Rush TD, Fum, 10 Rec Yds, Rec TD, 2PT, ...",5.2,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
K,D. Bailey K - DAL,NYG,"Win, 19-3","1 PAT, PAT Miss, 0-19, 1 20-29, 1 30-39, 2 40-49, 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",14.0,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
DEF,Vikings DEF,NO,"Win, 29-19","19 Pts, 1 Sck, Int, Fum, TD, Ret TD, Saf, ...",2.0,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
BN,M. Forte RB - NYJ,@BUF,"Loss, 12-21","16 Rush Yds, Rush TD, Fum, 20 Rec Yds, Rec TD, 2PT, ...",3.6,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
BN,P. Garcon WR - SF,CAR,"Loss, 3-23","81 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",8.1,2017,1,Goldcity,77.38,54.38,0-1-0,L1,The Manning Faced God,92.1,23.62,1-0-0,W1,3
